RxnID	REV	GPR	RxnName	EC	Subsystems	RxnKEGGid
R02480	1	( YAL039C or YKL087C )	Cytochrome c apocytochrome-c-lyase	4.4.1.17;4.4.1.-	sce00860  porphyrin and chlorophyll metabolism	R02480
R02855	1	YAL061W	(R)-Acetoin:NAD+ oxidoreductase	1.1.1.303	sce00650  butanoate metabolism	R02855
R02855_2	1	YAL061W	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	1.1.1.303	sce00650  butanoate metabolism	R02855
6.3.5.6-RXN	0	YBL080C	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112)	6.3.5.-	sce00970  aminoacyl-trna biosynthesis
MNXR100968	1	( YBL091C or YLR244C )	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	3.4.11.18	other
MNXR116282	1	( YBR022W or YMR087W )	ADP-ribose 1''-phosphate phosphatase (EC 3.1.3.84) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase)	3.1.3.84; 3.2.2.-	other
R02364	1	YBR046C	NADPH2:quinone oxidoreductase	1.6.5.5	sce00350  tyrosine metabolism	R02364
R05970	1	( YBR070C and YGL047W )	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	2.4.1.141	sce00510  n-glycan biosynthesis	R05970
MNXR106807	1	YBR111C	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	3.6.1.13	sce00230  purine metabolism
MNXR95951	1	( YBR147W or YDR352W )	Probable vacuolar amino acid transporter YPQ3 (PQ-loop repeat-containing protein 3) (Protein RTC2) (Restriction of telomere capping protein 2)		l-arg transport (from lysosomal lumen to cytosol);l-his transport (from lysosomal lumen to cytosol);l-lys transport (from lysoso...
MNXR100645	1	( YBR147W or YDR352W )	Probable vacuolar amino acid transporter YPQ3 (PQ-loop repeat-containing protein 3) (Protein RTC2) (Restriction of telomere capping protein 2)		l-arg transport (from lysosomal lumen to cytosol);l-his transport (from lysosomal lumen to cytosol);l-lys transport (from lysoso...
